(-402932954,1)
(-402932954,1)
(-402932954,1)
(-1415248072,1)
(-1415248072,1)
(-269296388,1)
(-1145948324,1)
(-1145948324,1)
(-1145948324,1)
(1001529964,1)
(1001529964,1)
(1001529964,1)
(523754062,1)
(523754062,1)
(523754062,1)
(-1144731712,1)
(-260450304,1)
(-260450304,1)
(-133761918,1)
(-133761918,1)
(583058097,1)
(583058097,1)
(583058097,1)
(-1729012037,1)
(-456044890,1)
(-456044890,1)
(-973327890,1)
(-973327890,1)
(-973327890,1)
(358366092,1)
(358366092,1)
(358366092,1)
(-1728688761,1)
(418471868,1)
(418471868,1)
(712652740,1)
(712652740,1)
(-1542686150,1)
(1853956355,1)
(-961711167,1)
(-961711167,1)
(667530298,1)
(-346502108,1)
(-346502108,1)
(-346502108,1)
(-1479395030,1)
(-405119871,1)
(-318799979,1)
(1072650165,1)
(1019299888,1)
(1019299888,1)
(-1073650631,1)
(58630505,1)
(58630505,1)
(58630505,1)
(-517300229,1)
(-517300229,1)
(-517300229,1)
(1072650165,1)
(1014086164,1)
(1014086164,1)
(74534275,1)
(74534275,1)
(74534275,1)
(-1596654319,1)
(-1687045430,1)
(-1687045430,1)
(522310580,1)
(1554927790,1)
(1554927790,1)
(1554927790,1)
(-1270275318,1)
(-1270275318,1)
(-1461828925,1)
(-1089114251,1)
(-1089114251,1)
(-1089114251,1)
(1792414314,1)
(1792414314,1)
(-595177626,1)
(-614501771,1)
(-614501771,1)
(-614501771,1)
(1793069654,1)
(2131100882,1)
(2131100882,1)
(2117537188,1)
(2117537188,1)
(2117537188,1)
(1913790977,1)
(1913790977,1)
(-761923524,1)
(-761923524,1)
(-761923524,1)
(2117515796,1)
(2117515796,1)
(2117515796,1)
(-87077657,1)
(-1963910096,1)
(-2067191353,1)
