(428580,1)
(428580,1)
(428580,1)
(428584,1)
(428584,1)
(428588,1)
(428596,1)
(428596,1)
(428596,1)
(428604,1)
(428604,1)
(428604,1)
(428612,1)
(428612,1)
(428612,1)
(428616,1)
(428620,1)
(428620,1)
(428624,1)
(428624,1)
(428628,1)
(428628,1)
(428628,1)
(428636,1)
(428640,1)
(428640,1)
(428644,1)
(428644,1)
(428644,1)
(428648,1)
(428648,1)
(428648,1)
(428652,1)
(323024,1)
(323024,1)
(323032,1)
(323032,1)
(323036,1)
(323040,1)
(653584,1)
(653584,1)
(653588,1)
(653596,1)
(653596,1)
(653596,1)
(653600,1)
(653604,1)
(653608,1)
(653612,1)
(653616,1)
(653616,1)
(653620,1)
(1182856,1)
(1182856,1)
(1182856,1)
(1182860,1)
(1182860,1)
(1182860,1)
(1182864,1)
(1182868,1)
(1182868,1)
(1182872,1)
(1182872,1)
(1182872,1)
(1182876,1)
(1182880,1)
(1182880,1)
(1182884,1)
(1243216,1)
(1243216,1)
(1243216,1)
(1243220,1)
(1243220,1)
(1243224,1)
(1243228,1)
(1243228,1)
(1243228,1)
(1243232,1)
(1243232,1)
(1243236,1)
(1243240,1)
(1243240,1)
(1243240,1)
(1243244,1)
(1243248,1)
(1243248,1)
(1243252,1)
(1243252,1)
(1243252,1)
(1243256,1)
(1243256,1)
(1243260,1)
(1243260,1)
(1243260,1)
(1243264,1)
(1243264,1)
(1243264,1)
(1243268,1)
(1243272,1)
(1243276,1)
