(1415250072,1)
(1415250072,1)
(1415250072,1)
(1415250072,1)
(1415250072,1)
(1415250072,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1145953684,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(1729011781,1)
(-1853302775,1)
(-1853302775,1)
(-1853302775,1)
(-1853302775,1)
(1479953354,1)
(1479953354,1)
(1479953354,1)
(1479953354,1)
(1479953354,1)
(1479953354,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(1074833483,1)
(-521820836,1)
(-521820836,1)
(-521820836,1)
(-521820836,1)
(-521820836,1)
(-521820836,1)
(-521820836,1)
(-521820836,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1792096154,1)
(-1879173811,1)
(-1879173811,1)
