0,18,0.025787965616045846
19,1,0.0014326647564469914
27,1,0.0014326647564469914
29,5,0.0071633237822349575
40,2,0.0028653295128939827
48,6,0.008595988538681949
50,1,0.0014326647564469914
51,3,0.004297994269340974
72,11,0.015759312320916905
75,2,0.0028653295128939827
78,1,0.0014326647564469914
82,2,0.0028653295128939827
90,1,0.0014326647564469914
95,5,0.0071633237822349575
108,10,0.014326647564469915
119,1,0.0014326647564469914
124,2,0.0028653295128939827
132,6,0.008595988538681949
139,4,0.0057306590257879654
142,3,0.004297994269340974
143,6,0.008595988538681949
146,1,0.0014326647564469914
148,1,0.0014326647564469914
151,2,0.0028653295128939827
153,41,0.05873925501432665
159,11,0.015759312320916905
162,1,0.0014326647564469914
168,6,0.008595988538681949
169,2,0.0028653295128939827
173,2,0.0028653295128939827
188,6,0.008595988538681949
194,20,0.02865329512893983
199,1,0.0014326647564469914
206,3,0.004297994269340974
207,3,0.004297994269340974
213,10,0.014326647564469915
215,1,0.0014326647564469914
230,14,0.02005730659025788
233,3,0.004297994269340974
241,27,0.03868194842406877
245,5,0.0071633237822349575
249,42,0.06017191977077364
251,4,0.0057306590257879654
257,3,0.004297994269340974
265,1,0.0014326647564469914
273,5,0.0071633237822349575
290,2,0.0028653295128939827
292,4,0.0057306590257879654
317,37,0.05300859598853868
320,1,0.0014326647564469914
322,2,0.0028653295128939827
325,11,0.015759312320916905
334,1,0.0014326647564469914
341,1,0.0014326647564469914
349,2,0.0028653295128939827
351,4,0.0057306590257879654
353,8,0.011461318051575931
356,4,0.0057306590257879654
361,10,0.014326647564469915
365,1,0.0014326647564469914
367,2,0.0028653295128939827
382,1,0.0014326647564469914
387,1,0.0014326647564469914
389,2,0.0028653295128939827
395,4,0.0057306590257879654
397,2,0.0028653295128939827
404,27,0.03868194842406877
416,3,0.004297994269340974
430,1,0.0014326647564469914
433,1,0.0014326647564469914
435,3,0.004297994269340974
437,3,0.004297994269340974
440,23,0.0329512893982808
456,5,0.0071633237822349575
459,5,0.0071633237822349575
488,1,0.0014326647564469914
492,36,0.05157593123209169
508,6,0.008595988538681949
510,4,0.0057306590257879654
511,4,0.0057306590257879654
518,8,0.011461318051575931
520,10,0.014326647564469915
522,3,0.004297994269340974
523,1,0.0014326647564469914
535,2,0.0028653295128939827
551,3,0.004297994269340974
556,6,0.008595988538681949
558,3,0.004297994269340974
563,9,0.012893982808022923
573,3,0.004297994269340974
576,13,0.01862464183381089
580,5,0.0071633237822349575
594,1,0.0014326647564469914
600,1,0.0014326647564469914
603,22,0.03151862464183381
604,6,0.008595988538681949
619,1,0.0014326647564469914
638,4,0.0057306590257879654
662,2,0.0028653295128939827
670,1,0.0014326647564469914
687,1,0.0014326647564469914
691,2,0.0028653295128939827
698,3,0.004297994269340974
700,26,0.03724928366762178
703,2,0.0028653295128939827
704,5,0.0071633237822349575
710,1,0.0014326647564469914
721,3,0.004297994269340974
732,1,0.0014326647564469914
742,4,0.0057306590257879654
747,2,0.0028653295128939827
755,5,0.0071633237822349575
758,1,0.0014326647564469914
762,1,0.0014326647564469914
789,1,0.0014326647564469914
798,3,0.004297994269340974
806,5,0.0071633237822349575
