(2801525,1)
(1724,1)
(3929602,1)
(2418,1)
(1,1)
(3105758,1)
(1911,1)
(1,1)
(2802217,1)
(3663133,1)
(2254,1)
(1,1)
(3200331,1)
(1969,1)
(3105661,1)
(1911,1)
(1,1)
(3213206,1)
(1977,1)
(1,1)
(3105758,1)
(1911,1)
(1,1)
(3068629,1)
(3213008,1)
(1977,1)
(1,1)
(3105661,1)
(1911,1)
(1,1)
(3213206,1)
(1977,1)
(1,1)
(3105661,1)
(1911,1)
(1,1)
(3925165,1)
(3276740,1)
(2016,1)
(1,1)
(2683227,1)
(1651,1)
(1,1)
(2819766,1)
(1735,1)
(1,1)
(3276392,1)
(2016,1)
(1,1)
(3598002,1)
(2214,1)
(1,1)
(3194796,1)
(1966,1)
(1,1)
(2715477,1)
(1671,1)
(1,1)
(3584873,1)
(2206,1)
(1,1)
(2841089,1)
(1748,1)
(1,1)
(2806474,1)
(1,1)
(3805873,1)
(2342,1)
(1,1)
(2016,1)
(1,1)
(3212724,1)
(1,1)
(3276756,1)
(2016,1)
(1,1)
(3805849,1)
(1,1)
(2254,1)
(1,1)
(2855578,1)
(1757,1)
(1,1)
(3044331,1)
(1873,1)
(3263123,1)
(2008,1)
(1,1)
(3212724,1)
(1,1)
(3814254,1)
(2347,1)
(1,1)
(3212727,1)
(1977,1)
(1,1)
(3276357,1)
(2016,1)
(1,1)
(2949477,1)
